track pitch start end duration velocity
0 G4 79.2000 79.6790 0.4790 80
0 G4 79.6800 80.1590 0.4790 80
0 G4 80.1600 80.3990 0.2390 80
0 E4 80.4000 80.6390 0.2390 80
0 G4 80.6400 80.8790 0.2390 80
0 A4 80.8800 81.1190 0.2390 80
0 A4 81.1200 81.3590 0.2390 80
0 G4 81.3600 81.8390 0.4790 80
0 A4 82.0800 82.3190 0.2390 80
0 B4 82.3200 82.5590 0.2390 80
0 B4 82.5600 82.7990 0.2390 80
0 A4 82.8000 83.0390 0.2390 80
0 A4 83.0400 83.2790 0.2390 80
0 G4 83.2800 83.5190 0.2390 80
0 A4 83.5200 83.7590 0.2390 80
0 B4 83.7600 83.9990 0.2390 80
0 G4 84.0000 84.2390 0.2390 80
0 E4 84.2400 86.3990 2.1590 80
0 G4 86.4000 86.8790 0.4790 80
0 G4 86.8800 87.3590 0.4790 80
0 G4 87.3600 87.8390 0.4790 80
0 G4 87.8400 88.0790 0.2390 80
0 E4 88.0800 88.3190 0.2390 80
0 G4 88.3200 88.5590 0.2390 80
0 A4 88.5600 88.7990 0.2390 80
0 A4 88.8000 89.0390 0.2390 80
0 G4 89.0400 89.5190 0.4790 80
0 A4 89.7600 89.9990 0.2390 80
0 G4 90.0000 90.2390 0.2390 80
0 A4 90.2400 90.7190 0.4790 80
0 A4 90.7200 90.9590 0.2390 80
0 G4 90.9600 91.1990 0.2390 80
0 A4 91.2000 91.4390 0.2390 80
0 B4 91.4400 91.6790 0.2390 80
0 G4 91.6800 91.9190 0.2390 80
0 E4 91.9200 94.0790 2.1590 80
0 G4 94.0800 94.5590 0.4790 80
0 G4 94.5600 95.0390 0.4790 80
0 E4 95.0400 95.5190 0.4790 80
0 E4 95.5200 95.7590 0.2390 80
0 B4 95.7600 95.9990 0.2390 80
0 A4 96.0000 96.4790 0.4790 80
0 A4 96.4800 96.7190 0.2390 80
0 G4 96.7200 97.4390 0.7190 80
0 A4 97.9200 98.3990 0.4790 90
0 A4 98.4000 98.6390 0.2390 90
0 G4 98.6400 98.8790 0.2390 90
0 A4 98.8800 99.1190 0.2390 90
0 A4 99.1200 99.3590 0.2390 90
0 G4 99.3600 99.5990 0.2390 90
0 A4 99.6000 99.7190 0.1190 90
0 B4 99.7200 100.7990 1.0790 80
0 G4 101.7600 102.2390 0.4790 80
0 G4 102.2400 102.7190 0.4790 80
0 E4 102.7200 103.1990 0.4790 80
0 E4 103.2000 103.4390 0.2390 80
0 B4 103.4400 103.6790 0.2390 80
0 A4 103.6800 104.1590 0.4790 80
0 A4 104.1600 104.3990 0.2390 80
0 G4 104.4000 105.1190 0.7190 80
0 A4 105.6000 106.0790 0.4790 80
0 A4 106.0800 106.3190 0.2390 80
0 G4 106.3200 106.5590 0.2390 80
0 A4 106.5600 106.7990 0.2390 80
0 B4 106.8000 107.0390 0.2390 80
0 A4 107.0400 107.2790 0.2390 80
0 G4 107.2800 107.5190 0.2390 80
0 E4 107.5200 107.8400 0.3200 96
0 E4 108.0000 108.3200 0.3200 96
0 E4 108.4800 108.8000 0.3200 96
0 B4 109.4400 109.9190 0.4790 80
0 E4 109.9200 110.3990 0.4790 80
0 E4 110.4000 110.8790 0.4790 80
0 G4 110.8800 111.1190 0.2390 80
0 B4 111.1200 111.3590 0.2390 80
0 B4 111.3600 111.8390 0.4790 80
0 E4 111.8400 112.3190 0.4790 80
0 E4 112.3200 112.7990 0.4790 80
0 B4 113.2800 113.5190 0.2390 80
0 D5 113.5200 113.7590 0.2390 80
0 E5 113.7600 113.9990 0.2390 80
0 G5 114.0000 114.2390 0.2390 80
0 E5 114.2400 114.4790 0.2390 80
0 D5 114.4800 114.7190 0.2390 80
0 A4 114.7200 114.9590 0.2390 80
0 G4 114.9600 115.1990 0.2390 80
0 B4 115.2000 117.1190 1.9190 80
0 A4 117.1200 117.5990 0.4790 80
0 G4 117.6000 117.8390 0.2390 80
0 E4 117.8400 118.0790 0.2390 80
0 A4 118.0800 118.7990 0.7190 80
0 B4 118.8000 119.0390 0.2390 80
0 D5 119.0400 119.2790 0.2390 80
0 E5 119.2800 119.5190 0.2390 80
0 D5 119.5200 119.7590 0.2390 80
0 B4 119.7600 119.9990 0.2390 80
0 D5 120.0000 120.4790 0.4790 80
